feature,mean_absolute_shap,importance_rank,random_forest_builtin_importance,rf_builtin_rank,rank_difference
categorical__first_careunit_Medical Intensive Care Unit (MICU),0.00016159827767047293,82,0.00020067877661401613,83,-1
numeric__bilirubin_total_min,0.00014322095287940068,83,0.000429719320971065,77,6
categorical__insurance_Medicaid,6.636120017080584e-05,84,0.00020840557220719064,82,2
numeric__missingindicator_glucose_max,0.0,85,0.0,85,0
numeric__missingindicator_glucose_min,0.0,86,0.0,85,1
numeric__missingindicator_glucose_first,0.0,87,0.0,85,2
numeric__missingindicator_temperature_c_min,0.0,88,0.0,85,3
numeric__missingindicator_map_mean,0.0,89,0.0,85,4
numeric__missingindicator_map_max,0.0,90,0.0,85,5
numeric__missingindicator_map_min,0.0,91,0.0,85,6
numeric__missingindicator_sbp_mean,0.0,92,0.0,85,7
numeric__missingindicator_sbp_max,0.0,93,0.0,85,8
numeric__missingindicator_sbp_min,0.0,94,0.0,85,9
numeric__albumin_max,0.0,95,0.0,85,10
numeric__missingindicator_bun_max,0.0,96,0.0,85,11
numeric__missingindicator_bun_min,0.0,97,0.0,85,12
numeric__missingindicator_bun_first,0.0,98,0.0,85,13
numeric__missingindicator_creatinine_max,0.0,99,0.0,85,14
numeric__missingindicator_creatinine_min,0.0,100,0.0,85,15
numeric__missingindicator_creatinine_first,0.0,101,0.0,85,16
numeric__missingindicator_temperature_c_mean,0.0,102,0.0,85,17
numeric__missingindicator_temperature_c_max,0.0,103,0.0,85,18
numeric__missingindicator_wbc_min,0.0,104,0.0,85,19
numeric__missingindicator_bicarbonate_first,0.0,105,0.0,85,20
numeric__missingindicator_wbc_max,0.0,106,0.0,85,21
numeric__missingindicator_wbc_first,0.0,107,0.0,85,22
numeric__missingindicator_platelets_max,0.0,108,0.0,85,23
categorical__admission_location_INFORMATION NOT AVAILABLE,0.0,109,0.0,85,24
categorical__admission_location_CLINIC REFERRAL,0.0,110,0.0,85,25
categorical__admission_type_ELECTIVE,0.0,111,0.0,85,26
categorical__admission_type_OBSERVATION ADMIT,0.0,112,0.0,85,27
numeric__missingindicator_hemoglobin_min,0.0,113,0.0,85,28
numeric__missingindicator_hemoglobin_first,0.0,114,0.0,85,29
numeric__missingindicator_hemoglobin_max,0.0,115,0.0,85,30
categorical__admission_type_DIRECT EMER.,0.0,116,0.0,85,31
numeric__missingindicator_bicarbonate_max,0.0,117,0.0,85,32
numeric__missingindicator_bicarbonate_min,0.0,118,0.0,85,33
numeric__missingindicator_platelets_min,0.0,119,0.0,85,34
numeric__missingindicator_platelets_first,0.0,120,0.0,85,35
categorical__admission_location_TRANSFER FROM SKILLED NURSING FACILITY,0.0,121,0.0,85,36
