mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0404687404632569,0.028833513306856757,0.14627890586853026,0.008200873125735064,500,5,sqrt,5,"{'classifier__n_estimators': 500, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5}",0.4777777777777778,0.5666666666666667,0.5588235294117647,0.6666666666666666,0.3666666666666667,0.5273202614379084,0.10022180535968428,1
0.7844373226165772,0.06839922165736757,0.1584747314453125,0.04151703937600789,300,5,sqrt,8,"{'classifier__n_estimators': 300, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 8}",0.4777777777777778,0.5666666666666667,0.5588235294117647,0.625,0.3666666666666667,0.5189869281045751,0.08944131014350278,2
1.0208046913146973,0.06727600947745643,0.14961624145507812,0.01939044277511442,500,5,log2,12,"{'classifier__n_estimators': 500, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'log2', 'classifier__max_depth': 12}",0.4444444444444445,0.5588235294117647,0.5666666666666667,0.5909090909090909,0.39285714285714285,0.510740174857822,0.07766385217944924,3
0.6966057777404785,0.08086419849827835,0.12043089866638183,0.014632087019070712,300,2,sqrt,,"{'classifier__n_estimators': 300, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.40277777777777773,0.5555555555555556,0.5588235294117647,0.6666666666666666,0.29166666666666663,0.4950980392156862,0.13195392932176833,4
1.4894754409790039,0.07011862179956477,0.20022482872009278,0.025848521250702305,800,5,log2,,"{'classifier__n_estimators': 800, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'log2', 'classifier__max_depth': None}",0.4444444444444445,0.5588235294117647,0.5625,0.5769230769230769,0.30952380952380953,0.49044297206061904,0.1021709668663346,5
1.7349278926849365,0.09001455975144952,0.22681717872619628,0.06475078682371867,800,2,sqrt,,"{'classifier__n_estimators': 800, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.3888888888888889,0.5555555555555556,0.5588235294117647,0.6428571428571428,0.29166666666666663,0.48755835667600367,0.1280072458714467,6
1.7487573146820068,0.2421911326349698,0.25299501419067383,0.03314909146133416,800,2,log2,5,"{'classifier__n_estimators': 800, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 5}",0.4242424242424242,0.5714285714285714,0.5625,0.5909090909090909,0.26785714285714285,0.4833874458874458,0.12290027279273633,7
0.9664188385009765,0.12266467456519393,0.15000123977661134,0.014550139671798376,500,2,log2,5,"{'classifier__n_estimators': 500, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 5}",0.37777777777777777,0.5714285714285714,0.5625,0.6,0.26785714285714285,0.47591269841269834,0.13033485953874785,8
1.7278734207153321,0.05097830335280311,0.21672458648681642,0.05076424760145303,800,10,sqrt,12,"{'classifier__n_estimators': 800, 'classifier__min_samples_leaf': 10, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 12}",0.4444444444444445,0.5588235294117647,0.5769230769230769,0.5714285714285714,0.225,0.4753239244415715,0.1342730683498049,9
1.4824295520782471,0.09252577040099459,0.21014065742492677,0.02999203803835436,800,5,0.7,12,"{'classifier__n_estimators': 800, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 0.7, 'classifier__max_depth': 12}",0.3213675213675214,0.5555555555555556,0.1588235294117647,0.6428571428571428,0.3611111111111111,0.4079429720606191,0.1724663277370112,10
0.7351671695709229,0.04708305210499183,0.1149892807006836,0.06310865565030321,300,2,0.7,8,"{'classifier__n_estimators': 300, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.7, 'classifier__max_depth': 8}",0.35555555555555557,0.5555555555555556,0.14583333333333331,0.6111111111111112,0.3611111111111111,0.4058333333333334,0.16533822424068106,11
1.172691249847412,0.1189648546984968,0.1425036907196045,0.0588052289896279,500,10,0.7,12,"{'classifier__n_estimators': 500, 'classifier__min_samples_leaf': 10, 'classifier__max_features': 0.7, 'classifier__max_depth': 12}",0.37777777777777777,0.5588235294117647,0.17142857142857143,0.5833333333333334,0.17142857142857143,0.3725583566760038,0.17891586220521358,12
