feature,mean_absolute_shap,importance_rank
categorical__race_PORTUGUESE,0.0,130
categorical__race_HISPANIC/LATINO - SALVADORAN,0.0,131
categorical__race_OTHER,0.0,132
categorical__race_WHITE - OTHER EUROPEAN,0.0,133
categorical__race_UNABLE TO OBTAIN,0.0,134
categorical__race_PATIENT DECLINED TO ANSWER,0.0,135
categorical__first_careunit_Coronary Care Unit (CCU),0.0,136
categorical__first_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,137
categorical__first_careunit_Neuro Intermediate,0.0,138
categorical__first_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,139
categorical__first_careunit_Trauma SICU (TSICU),0.0,140
