model,n_fits,auroc_mean,auroc_sd,auroc_p2.5,auroc_p97.5,auprc_mean,auprc_sd,auprc_p2.5,auprc_p97.5,brier_mean,brier_sd,brier_p2.5,brier_p97.5
logistic,6,0.8683938028966572,0.004502795388629662,0.8642027532748147,0.8755081008180374,0.5423964990699558,0.011223118012450182,0.5305017213167987,0.5572829644834028,0.1453273284942739,0.0017430058047786764,0.14363964924202105,0.147895402187784
random_forest,6,0.854631680123627,0.006091080005305933,0.8479150835425325,0.8642264057868805,0.5150520746412323,0.012156031017186287,0.5029618747481117,0.532777338346519,0.15180838511640252,0.0005215600187958134,0.15127934062120538,0.15253607460635155
xgboost,6,0.8907695694413557,0.0037040979534346957,0.8872747844459619,0.8966794558443808,0.5985408804279463,0.01036521058672258,0.5888112568529144,0.6141541263802498,0.12321277044697286,0.0018489812636459744,0.12093783319451286,0.12542337176061027
